pillar,section_name,question_number,question_text,response_type,hint
Legal Frameworks,Work,1.1.1.,Does the law prohibit discrimination in recruitment based on marital status?,yes_no,Select “Yes” if the law explicitly prohibits employers from discriminating based on marital status.
Legal Frameworks,Work,1.1.3.,Does the law prohibit discrimination in recruitment based on age?,yes_no,Select “Yes” if the law explicitly prohibits employers from discriminating based on age.
Legal Frameworks,Work,1.3.1.,Does the law allow employees to request flex time?,yes_no,Flex time refers to a work arrangement that provides employees the flexibility to choose the time of work.
Legal Frameworks,Work,1.3.2.,Does the law allow employees to request remote work?,yes_no,
Legal Frameworks,Pay,2.1.,Does the law mandate equal remuneration for work of equal value?,yes_no,"Remuneration refers to the ordinary, basic, or minimum wage or salary and any additional emoluments payable directly or indirectly, whether in cash or in kind, by the employer to the worker and arising from the worker’s employment. Work of equal value refers not only to the same or similar jobs, but also to different jobs of the same value"
Legal Frameworks,Pay,2.2.2.,Does the law allow public authorities to restrict or prohibit women from working at night?,yes_no,
Legal Frameworks,Pay,2.3.,Can a woman work in a job deemed dangerous in the same way as a man?,yes_no,"The answer is “No” only where legislation explicitly uses terms such as “hazardous,” “arduous,” “morally or socially inappropriate” or their synonyms to describe a broad category of jobs that women are legally prohibited from doing."
Legal Frameworks,Pay,2.4.8.,Does the law allow public authorities to restrict or prohibit women from working in different economic sectors?,yes_no,
Legal Frameworks,Parenthood,3.1.1.,How many days of paid maternity leave are employees legally entitled to?,integer,"“Days” refers to calendar days. Maternity leave refers to leave available only to the mother for the birth of a child to be taken just before, during and immediately after childbirth."
Legal Frameworks,Parenthood,3.3.1.,How many days of paid paternity leave are employees legally entitled to?,integer,“Days” refers to calendar days. Paternity leave refers to leave available only to the father for the birth of a child.
Legal Frameworks,Parenthood,3.3.2.,How many days of paid parental leave reserved for the father are employees legally entitled to?,integer,“Days” refers to calendar days. This question refers to days of parental leave reserved specifically for fathers—through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement. Paternity leave refers to leave available only to the father for the birth of a child.
Legal Frameworks,Parenthood,3.4.,Is dismissal of pregnant workers prohibited?,yes_no,"Select “Yes” if pregnancy and childbirth cannot serve as grounds for termination of a contract or if dismissal of pregnant workers and workers who underwent childbirth is considered a form of unlawful  termination, unfair dismissal or wrongful discharge. Select “No” if there are no provisions prohibiting the dismissal of pregnant workers and workers who underwent childbirth, or if the law only prohibits the dismissal of pregnant workers during maternity leave or for a limited period of the pregnancy or when their pregnancy results in illness or disability."
Legal Frameworks,Childcare,4.2.1.a.,Does the law establish financial support for families for childcare services?,yes_no,"Financial support refers to vouchers, allowances, subsidies, cash grants, reimbursements, a one-time payment, or other."
Legal Frameworks,Childcare,4.2.1.b.,Does the law establish tax incentives for families for childcare services?,yes_no,"Tax incentives refer to credits, deductions or exemptions."
Legal Frameworks,Childcare,4.2.2.b.,Does the law establish tax incentives for private childcare centers?,yes_no,"Tax incentives refer to credits, deductions or exemptions."
Legal Frameworks,Childcare,4.3.1.a.,Does the law establish a caregiver-to-child ratio at childcare centers (public or private)?,yes_no,"Center-based childcare services: early childhood care and education services offered to children aged 0-2 years (including 2 years and 11 months) on a regular basis at formally registered nurseries, day cares, crèches, or preschools. The primary objective of childcare as a service is caring for children while parents are working while ensuring children are safe and have opportunities to learn and play"
Legal Frameworks,Pension,5.1.1.,What is the age at which a woman can retire and receive full benefits?,integer,
Legal Frameworks,Pension,5.1.2. ,What is the age at which a man can retire and receive full benefits?,integer,
Legal Frameworks,Pension,5.2.1.,What is the mandatory retirement age for a woman?,integer,
Legal Frameworks,Pension,5.2.2.,What is the mandatory retirement age for a man?,integer,
Legal Frameworks,Pension,5.3.,Are periods of absence due to childcare accounted for in the calculation of pension benefits?,yes_no,
Legal Frameworks,Procurement,6.1.,Does the law include gender-responsive procurement provisions for public procurement processes?,yes_no,"Gender-responsive procurement considers gender equality in selecting services, goods, and works. Please consider “Yes” if the law includes (a) gender-responsive measures (e.g., quotas, reserved contracts, certifications); (b) selection or exclusion criteria based on gender (e.g., workplace equality, gender-based violence protections); (c) tie-breaking rules favoring gender-inclusive businesses; or (d) explicit references to sex, gender, or women (general sustainability references are not sufficient)."
Policy Instruments,Work,2.2.2.,Are there enforcement mechanisms to ensure compliance with equal pay legislation?,yes_no,
Policy Instruments,Parenthood,3.3.,Does the government publish anonymized sex-disaggregated data on unpaid care work?,yes_no,"Sex-disaggregated data on unpaid care work include separate information about the time spent by  women and men performing tasks related to unpaid care work. Data must be collected and published by a public entity, such as the national statistics office."
Policy Instruments,Childcare,4.1.,Is there a publicly available registry or database of childcare providers? ,yes_no,
